"Year","cpi_score","iso_3"
2007,7.8,"DEU"
2008,7.9,"DEU"
2009,8,"DEU"
1998,3.3,"GHA"
1999,3.3,"GHA"
2000,3.5,"GHA"
2001,3.4,"GHA"
2002,3.9,"GHA"
2003,3.3,"GHA"
2004,3.6,"GHA"
2005,3.5,"GHA"
2006,3.3,"GHA"
2007,3.7,"GHA"
2008,3.9,"GHA"
2009,3.9,"GHA"
1998,4.9,"GRC"
1999,4.9,"GRC"
2000,4.9,"GRC"
2001,4.2,"GRC"
2002,4.2,"GRC"
2003,4.3,"GRC"
2004,4.3,"GRC"
2005,4.3,"GRC"
2006,4.4,"GRC"
2007,4.6,"GRC"
2008,4.7,"GRC"
2009,3.8,"GRC"
1998,NA,"GRD"
1999,NA,"GRD"
2000,NA,"GRD"
2001,NA,"GRD"
2002,NA,"GRD"
2003,NA,"GRD"
2004,NA,"GRD"
2005,NA,"GRD"
2006,3.5,"GRD"
2007,3.4,"GRD"
2008,NA,"GRD"
2009,NA,"GRD"
1998,3.1,"GTM"
1999,3.2,"GTM"
2000,NA,"GTM"
2001,2.9,"GTM"
2002,2.5,"GTM"
2003,2.4,"GTM"
2004,2.2,"GTM"
2005,2.5,"GTM"
2006,2.6,"GTM"
2007,2.8,"GTM"
2008,3.1,"GTM"
2009,3.4,"GTM"
1998,NA,"GIN"
1999,NA,"GIN"
2000,NA,"GIN"
2001,NA,"GIN"
2002,NA,"GIN"
2003,NA,"GIN"
2004,NA,"GIN"
2005,NA,"GIN"
2006,1.9,"GIN"
2007,1.9,"GIN"
2008,1.6,"GIN"
2009,1.8,"GIN"
1998,NA,"GNB"
1999,NA,"GNB"
2000,NA,"GNB"
2001,NA,"GNB"
2002,NA,"GNB"
2003,NA,"GNB"
2004,NA,"GNB"
2005,NA,"GNB"
2006,NA,"GNB"
2007,2.2,"GNB"
2008,1.9,"GNB"
2009,1.9,"GNB"
1998,NA,"GUY"
1999,NA,"GUY"
2000,NA,"GUY"
2001,NA,"GUY"
2002,NA,"GUY"
2003,NA,"GUY"
2004,NA,"GUY"
2005,2.5,"GUY"
2006,2.5,"GUY"
2007,2.6,"GUY"
2008,2.6,"GUY"
2009,2.6,"GUY"
1998,NA,"HTI"
1999,NA,"HTI"
2000,NA,"HTI"
2001,NA,"HTI"
2002,2.2,"HTI"
2003,1.5,"HTI"
2004,1.5,"HTI"
2005,1.8,"HTI"
2006,1.8,"HTI"
2007,1.6,"HTI"
2008,1.4,"HTI"
2009,1.8,"HTI"
1998,1.7,"HND"
1999,1.8,"HND"
2000,NA,"HND"
2001,2.7,"HND"
2002,2.7,"HND"
2003,2.3,"HND"
2004,2.3,"HND"
2005,2.6,"HND"
2006,2.5,"HND"
2007,2.5,"HND"
2008,2.6,"HND"
2009,2.5,"HND"
1998,7.8,"HKG"
1999,7.7,"HKG"
2000,7.7,"HKG"
2001,7.9,"HKG"
2002,8.2,"HKG"
2003,8,"HKG"
2004,8,"HKG"
2005,8.3,"HKG"
2006,8.3,"HKG"
2007,8.3,"HKG"
2008,8.1,"HKG"
2009,8.2,"HKG"
1998,5,"HUN"
1999,5.2,"HUN"
2000,5.2,"HUN"
2001,5.3,"HUN"
2002,4.9,"HUN"
2003,4.8,"HUN"
2004,4.8,"HUN"
2005,5,"HUN"
2006,5.2,"HUN"
2007,5.3,"HUN"
2008,5.1,"HUN"
2009,5.1,"HUN"
1998,9.3,"ISL"
1999,9.2,"ISL"
2000,9.1,"ISL"
2001,9.2,"ISL"
2002,9.4,"ISL"
2003,9.6,"ISL"
2004,9.5,"ISL"
2005,9.7,"ISL"
2006,9.6,"ISL"
2007,9.2,"ISL"
2008,8.9,"ISL"
2009,8.7,"ISL"
1998,2.9,"IND"
1999,2.9,"IND"
2000,2.8,"IND"
